,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
131,Liberia,LBR,Gini index,SI.POV.GINI,,,,,,,,36.5,36.02857142857143,35.55714285714286,35.08571428571429,34.614285714285714,34.142857142857146,33.67142857142857,33.2,34.25,35.3,35.3,35.3,35.3,35.3,35.3,35.3
133,St. Lucia,LCA,Gini index,SI.POV.GINI,,,,,,,,,,,,,,,,,51.2,51.2,51.2,51.2,51.2,51.2,51.2
138,Sri Lanka,LKA,Gini index,SI.POV.GINI,,,40.2,40.075,39.95,39.825,39.7,38.5,37.300000000000004,36.1,36.96666666666667,37.833333333333336,38.7,38.85,39.0,39.15,39.3,38.766666666666666,38.233333333333334,37.7,37.7,37.7,37.7
141,Lesotho,LSO,Gini index,SI.POV.GINI,,,51.6,51.153333333333336,50.70666666666667,50.26,49.81333333333333,49.36666666666667,48.92,48.473333333333336,48.026666666666664,47.58,47.13333333333333,46.68666666666667,46.239999999999995,45.79333333333333,45.346666666666664,44.9,44.9,44.9,44.9,44.9,44.9
143,Lithuania,LTU,Gini index,SI.POV.GINI,,,,,37.0,35.3,34.4,34.8,35.7,37.2,33.6,32.5,35.1,35.3,37.7,37.4,38.4,37.3,35.7,35.3,36.0,36.0,36.0
144,Luxembourg,LUX,Gini index,SI.POV.GINI,30.1,30.9,31.0,30.2,30.2,30.8,30.9,31.1,32.6,31.2,30.5,32.1,34.3,32.0,31.2,32.9,31.7,34.5,35.4,34.2,33.4,33.4,33.4
145,Latvia,LVA,Gini index,SI.POV.GINI,,,,,36.4,39.0,35.6,37.5,37.2,36.0,35.0,35.8,35.2,35.5,35.1,34.2,34.3,35.6,35.1,34.5,35.7,35.7,35.7
148,Morocco,MAR,Gini index,SI.POV.GINI,40.6,40.61666666666667,40.63333333333333,40.650000000000006,40.66666666666667,40.68333333333334,40.7,40.52857142857143,40.35714285714286,40.18571428571429,40.01428571428571,39.84285714285714,39.67142857142857,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
150,Moldova,MDA,Gini index,SI.POV.GINI,36.4,38.0,35.8,34.9,35.0,36.3,35.4,34.4,34.7,32.9,32.1,30.6,29.2,28.5,26.8,27.0,26.3,25.9,25.7,26.0,25.85,25.7,25.7
151,Madagascar,MDG,Gini index,SI.POV.GINI,,47.4,45.525,43.65,41.775,39.9,40.4,40.9,41.4,41.9,42.4,42.5,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6
